"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"Alabama","Agriculture",283,617.137472283814,45.8568816041447,291628,43.1434844120276
"Alabama","Manufacturing",20,617.137472283814,3.24076901796076,17070,2.52533802965871
"Alabama","Trade",11,617.137472283814,1.78242295987842,14435,2.13551578547882
"Alabama","Service",42,617.137472283814,6.80561493771759,42125,6.23197800230657
"Alabama","School",71,617.137472283814,11.5047300137607,77139,11.4119537357846
"Alabama","Unaccounted",190.137472283814,617.137472283814,30.8095814665378,233552.112535518,34.5517300347437
"Arkansas","Agriculture",226,634.186252771619,35.6362186995224,109310,33.5207279536877
"Arkansas","Manufacturing",17,634.186252771619,2.68060052164549,6271,1.92304898909135
"Arkansas","Trade",10,634.186252771619,1.57682383626205,5491,1.68385616314792
"Arkansas","Service",33,634.186252771619,5.20351865966478,14877,4.5621431686672
"Arkansas","School",120,634.186252771619,18.9218860351446,62572,19.1881711601697
"Arkansas","Unaccounted",228.186252771619,634.186252771619,35.9809522477606,127575.736774401,39.1220525652362
"California","Agriculture",75,602.135254988914,12.4556732691862,47863,11.2962987742948
"California","Manufacturing",118,602.135254988914,19.5969259435196,81508,19.2369621731864
"California","Trade",47,602.135254988914,7.80555524868999,33165,7.82737707309377
"California","Service",110,602.135254988914,18.2683207948064,76112,17.9634350606758
"California","School",123,602.135254988914,20.4273041614653,91003,21.4779073053747
"California","Unaccounted",129.135254988914,602.135254988914,21.4462205823326,94054.1529560658,22.1980196133745
"Connecticut","Agriculture",70,609.232815964523,11.4898603892795,43653,10.2934032843106
"Connecticut","Manufacturing",133,609.232815964523,21.8307347396311,86344,20.3599663981974
"Connecticut","Trade",40,609.232815964523,6.56563450815973,24720,5.82899065787362
"Connecticut","Service",55,609.232815964523,9.02774744871963,38704,9.12642614977106
"Connecticut","School",146,609.232815964523,23.964565954783,99632,23.4932846773974
"Connecticut","Unaccounted",165.232815964523,609.232815964523,27.121456959427,131034.143914169,30.8979288324499
"Delaware","Agriculture",118,617.017738359202,19.1242475968017,15973,17.8477185860129
"Delaware","Manufacturing",68,617.017738359202,11.0207528523942,9514,10.6306388672965
"Delaware","Trade",24,617.017738359202,3.88967747731561,3437,3.84039371314883
"Delaware","Service",83,617.017738359202,13.4518012757165,11389,12.7257038111877
"Delaware","School",140,617.017738359202,22.689785284341,19965,22.3082515225535
"Delaware","Unaccounted",184.017738359202,617.017738359202,29.823735513431,29218.0323529412,32.6472934998006
"District of Columbia","Agriculture",19,608.60088691796,3.12191460913221,1365,1.40296836944613
"District of Columbia","Manufacturing",71,608.60088691796,11.6661019604414,11705,12.0305822449575
"District of Columbia","Trade",42,608.60088691796,6.90107439913436,6126,6.2963987041956
"District of Columbia","Service",192,608.60088691796,31.5477686817571,29845,30.6751582315896
"District of Columbia","School",129,608.60088691796,21.1961570830555,19941,20.4956719817768
"District of Columbia","Unaccounted",155.60088691796,608.60088691796,25.5669832664794,28311.7116564417,29.0992204680345
"Florida","Agriculture",233,634.988913525499,36.6935540191354,42492,34.2868316240121
"Florida","Manufacturing",24,634.988913525499,3.77959354703541,4291,3.46241161862553
"Florida","Trade",19,634.988913525499,2.99217822473636,3023,2.43926131976345
"Florida","Service",58,634.988913525499,9.1340177386689,10897,8.79279874345429
"Florida","School",70,634.988913525499,11.0238145121866,12778,10.3105792735486
"Florida","Unaccounted",230.988913525499,634.988913525499,36.3768419582373,50449.9612097304,40.7081174205961
"Georgia","Agriculture",282,620.137472283814,45.4737880878998,336145,42.5324704697502
"Georgia","Manufacturing",22,620.137472283814,3.54760048912694,27040,3.42137470883709
"Georgia","Trade",14,620.137472283814,2.25756394762623,17410,2.20288955920317
"Georgia","Service",51,620.137472283814,8.22398295206699,64083,8.10843030571034
"Georgia","School",61,620.137472283814,9.83652862894287,77493,9.80519934585477
"Georgia","Unaccounted",190.137472283814,620.137472283814,30.6605358943371,268154.594275254,33.9296356106444
"Illinois","Agriculture",135,608.60088691796,22.1820248543604,376441,20.9758787619219
"Illinois","Manufacturing",47,608.60088691796,7.72263087522178,133221,7.42328158872705
"Illinois","Trade",29,608.60088691796,4.76502756130706,80422,4.48123908339231
"Illinois","Service",54,608.60088691796,8.87280994174418,151931,8.4658319263246
"Illinois","School",188,608.60088691796,30.8905235008871,548221,30.5477278796401
"Illinois","Unaccounted",155.60088691796,608.60088691796,25.5669832664794,504401.56571364,28.106040759994
"Indiana","Agriculture",146,607.809312638581,24.0206915169158,266777,22.1623473102655
"Indiana","Manufacturing",43,607.809312638581,7.0745872275848,76057,6.31839195049371
"Indiana","Trade",21,607.809312638581,3.45503097161118,36517,3.03362897374573
"Indiana","Service",45,607.809312638581,7.40363779630967,80018,6.64744976918108
"Indiana","School",207,607.809312638581,34.0567338630245,395229,32.8334240398869
"Indiana","Unaccounted",145.809312638581,607.809312638581,23.989318624554,349141.821712976,29.0047579564271
"Iowa","Agriculture",155,593.917960088692,26.0978805855363,210263,24.2992791434024
"Iowa","Manufacturing",35,593.917960088692,5.89306980963723,47319,5.46847324439706
"Iowa","Trade",23,593.917960088692,3.87258873204732,28210,3.26012025242378
"Iowa","Service",46,593.917960088692,7.74517746409465,58484,6.7587689770561
"Iowa","School",216,593.917960088692,36.3686593966183,306351,35.4037965065678
"Iowa","Unaccounted",118.917960088692,593.917960088692,20.0226240120661,214678.504575387,24.8095618761528
"Kansas","Agriculture",184,595.505543237251,30.8981170854851,73228,28.7174631918488
"Kansas","Manufacturing",43,595.505543237251,7.22075562323837,18126,7.1083839216618
"Kansas","Trade",32,595.505543237251,5.37358558008437,11762,4.61264546433775
"Kansas","Service",50,595.505543237251,8.39622746888183,20736,8.13193473461211
"Kansas","School",154,595.505543237251,25.860380604156,62918,24.6742413981638
"Kansas","Unaccounted",132.505543237251,595.505543237251,22.2509336381542,68224.6682643794,26.7553312893758
"Kentucky","Agriculture",193,614.827050997783,31.3909415154695,261080,28.7487153983412
"Kentucky","Manufacturing",33,614.827050997783,5.36736305704919,44197,4.86673423648109
"Kentucky","Trade",19,614.827050997783,3.09029994193742,25292,2.78501803989139
"Kentucky","Service",64,614.827050997783,10.4094313833681,84024,9.25226774410226
"Kentucky","School",128,614.827050997783,20.8188627667363,181205,19.9533130601977
"Kentucky","Unaccounted",177.827050997783,614.827050997783,28.9231013354395,312346.925373134,34.3939515209864
"Louisiana","Agriculture",195,631.671840354767,30.8704595554682,141467,28.2265521091554
"Louisiana","Manufacturing",37,631.671840354767,5.85747181308884,25807,5.14920532902354
"Louisiana","Trade",33,631.671840354767,5.22423161707923,23831,4.75493905513853
"Louisiana","Service",83,631.671840354767,13.1397340671993,65347,13.0385213560546
"Louisiana","School",64,631.671840354767,10.1318431361537,51259,10.227578407425
"Louisiana","Unaccounted",219.671840354767,631.671840354767,34.7762598110108,193473.131355932,38.6032037432029
"Maine","Agriculture",111,603.192904656319,18.4020732245258,82011,16.2235462104571
"Maine","Manufacturing",79,603.192904656319,13.0969710336715,62007,12.2663231745962
"Maine","Trade",36,603.192904656319,5.96823996471107,28115,5.561753931875
"Maine","Service",48,603.192904656319,7.95765328628143,36092,7.13977673516744
"Maine","School",190,603.192904656319,31.4990442581973,155130,30.6880628650816
"Maine","Unaccounted",139.192904656319,603.192904656319,23.0760182326128,142151.003041054,28.1205370828227
"Maryland","Agriculture",97,618.137472283814,15.6923021737571,80449,14.501504122672
"Maryland","Manufacturing",75,618.137472283814,12.1332233302246,63326,11.4149616536231
"Maryland","Trade",42,618.137472283814,6.79460506492575,35542,6.40669815072912
"Maryland","Service",93,618.137472283814,15.0451969294784,79226,14.2810496789619
"Maryland","School",121,618.137472283814,19.5749336394289,105435,19.0054082359497
"Maryland","Unaccounted",190.137472283814,618.137472283814,30.7597388621852,190785.142633075,34.3903781580641
"Massachusetts","Agriculture",47,593.747228381375,7.91582642467697,72810,6.12219541893586
"Massachusetts","Manufacturing",155,593.747228381375,26.1053850175517,292665,24.6086021464478
"Massachusetts","Trade",48,593.747228381375,8.08424826349989,83078,6.98557548433393
"Massachusetts","Service",71,593.747228381375,11.9579505564269,131291,11.0395434521015
"Massachusetts","School",147,593.747228381375,24.7580103069684,287382,24.1643835171628
"Massachusetts","Unaccounted",125.747228381375,593.747228381375,21.1785794308761,322053.253889866,27.0796999810181
"Michigan","Agriculture",134,603.505543237251,22.2036071584718,187211,21.121163909926
"Michigan","Manufacturing",56,603.505543237251,9.27911940951058,82637,9.32311467822167
"Michigan","Trade",21,603.505543237251,3.47966977856647,29588,3.33812114548232
"Michigan","Service",72,603.505543237251,11.9302963836565,104728,11.8154235272432
"Michigan","School",188,603.505543237251,31.1513294462141,263844,29.7669067023333
"Michigan","Unaccounted",132.505543237251,603.505543237251,21.9559778235806,218358.872575706,24.6352700367934
"Minnesota","Agriculture",150,599.505543237251,25.0206193574158,75157,24.6509496705195
"Minnesota","Manufacturing",41,599.505543237251,6.83896929102697,18588,6.09672888055159
"Minnesota","Trade",23,599.505543237251,3.83649496813708,10582,3.47081907757676
"Minnesota","Service",57,599.505543237251,9.50783535581799,28330,9.29203406423641
"Minnesota","School",196,599.505543237251,32.6936092936899,96761,31.7369046272354
"Minnesota","Unaccounted",132.505543237251,599.505543237251,22.1024717339123,75466.8056749785,24.7525636798804
"Mississippi","Agriculture",309,625.164079822616,49.4270240362619,259199,47.4659525159668
"Mississippi","Manufacturing",14,625.164079822616,2.23941209225782,9981,1.82777584813932
"Mississippi","Trade",9,625.164079822616,1.4396220593086,9148,1.67523228722358
"Mississippi","Service",49,625.164079822616,7.83794232290237,40522,7.4206124554956
"Mississippi","School",42,625.164079822616,6.71823627677346,39141,7.16771610780696
"Mississippi","Unaccounted",202.164079822616,625.164079822616,32.3377632124959,188082.524834058,34.4427107853678
"Missouri","Agriculture",143,618.565410199556,23.1180078358838,263918,22.1292763791895
"Missouri","Manufacturing",47,618.565410199556,7.5982263516541,79850,6.69534749004721
"Missouri","Trade",30,618.565410199556,4.84993171382177,54885,4.60205569181267
"Missouri","Service",56,618.565410199556,9.05320586580063,106903,8.9637161268443
"Missouri","School",171,618.565410199556,27.6446107687841,324340,27.1956043196232
"Missouri","Unaccounted",171.565410199557,618.565410199556,27.7360174640557,362723.204883672,30.4139999924831
"Nebraska","Agriculture",177,617.039911308204,28.6853405681226,23115,26.6552166442855
"Nebraska","Manufacturing",43,617.039911308204,6.96875505327272,5763,6.64564194337085
"Nebraska","Trade",35,617.039911308204,5.67224248522199,4628,5.33680911225408
"Nebraska","Service",74,617.039911308204,11.9927412544693,10331,11.913261654861
"Nebraska","School",126,617.039911308204,20.4200729467991,17948,20.6968560818358
"Nebraska","Unaccounted",162.039911308204,617.039911308204,26.2608476921142,24933.4848222029,28.7522145633927
"Nevada","Agriculture",38,590.534368070953,6.43484986727043,2070,5.81408584231686
"Nevada","Manufacturing",222,590.534368070953,37.5930702772114,13789,38.7296761737716
"Nevada","Trade",61,590.534368070953,10.3296274185131,3621,10.1704371183717
"Nevada","Service",120,590.534368070953,20.3205785282224,7431,20.871725552781
"Nevada","School",48,590.534368070953,8.12823141128896,2892,8.12286775651225
"Nevada","Unaccounted",101.534368070953,590.534368070953,17.1936424974937,5800.18949771689,16.2912075562467
"New Hampshire","Agriculture",114,609.60088691796,18.7007601935038,46573,17.8927483392434
"New Hampshire","Manufacturing",114,609.60088691796,18.7007601935038,46553,17.8850645961565
"New Hampshire","Trade",20,609.60088691796,3.28083512166733,8514,3.27096943208121
"New Hampshire","Service",46,609.60088691796,7.54592077983487,18528,7.11821959567779
"New Hampshire","School",160,609.60088691796,26.2466809733387,65824,25.2887352475116
"New Hampshire","Unaccounted",155.60088691796,609.60088691796,25.5250427381515,74297.8063337394,28.5442627893295
"New Jersey","Agriculture",64,609.232815964523,10.5050152130556,63128,9.42548111814911
"New Jersey","Manufacturing",98,609.232815964523,16.0858045449913,103322,15.4267450273952
"New Jersey","Trade",49,609.232815964523,8.04290227249567,46206,6.89890033812568
"New Jersey","Service",81,609.232815964523,13.2954098790235,83380,12.44925572854
"New Jersey","School",152,609.232815964523,24.949411131007,158085,23.603269271363
"New Jersey","Unaccounted",165.232815964523,609.232815964523,27.121456959427,215637.914252607,32.196348516427
"New York","Agriculture",74,610.039911308204,12.1303538716525,374323,11.1512479178078
"New York","Manufacturing",91,610.039911308204,14.9170567881132,476775,14.203338362892
"New York","Trade",45,610.039911308204,7.37656654357245,234581,6.98827186095236
"New York","Service",79,610.039911308204,12.9499723764939,405339,12.0752282914924
"New York","School",159,610.039911308204,26.063868453956,846745,25.2249084832195
"New York","Unaccounted",162.039911308204,610.039911308204,26.5621819662121,1019018.25676169,30.357005083636
"North Carolina","Agriculture",255,635.290465631929,40.1391196303173,269238,36.9423396464075
"North Carolina","Manufacturing",22,635.290465631929,3.46298287006659,20592,2.82544313209436
"North Carolina","Trade",10,635.290465631929,1.57408312275754,10179,1.39666791188755
"North Carolina","Service",50,635.290465631929,7.87041561378771,51290,7.03753779356643
"North Carolina","School",59,635.290465631929,9.2870904242695,65287,8.95807623179122
"North Carolina","Unaccounted",239.290465631929,635.290465631929,37.6663083388013,312220.032798691,42.839935284253
"North West Territory","Agriculture",88,626.509977827051,14.0460652047736,NA,NA
"North West Territory","Manufacturing",181,626.509977827051,28.890202296182,NA,NA
"North West Territory","Trade",48,626.509977827051,7.66149011169467,NA,NA
"North West Territory","Service",110,626.509977827051,17.557581505967,NA,NA
"North West Territory","School",57,626.509977827051,9.09801950763742,NA,NA
"North West Territory","Unaccounted",142.509977827051,626.509977827051,22.7466413737454,NA,NA
"Ohio","Agriculture",127,592.341463414634,21.4403359960471,397024,19.4839506077842
"Ohio","Manufacturing",62,592.341463414634,10.4669356831096,197010,9.66826466218558
"Ohio","Trade",27,592.341463414634,4.55818166845096,78547,3.85469359129329
"Ohio","Service",53,592.341463414634,8.94754179362596,168308,8.25971417066712
"Ohio","School",201,592.341463414634,33.9331301984683,645624,31.6839942351094
"Ohio","Unaccounted",122.341463414634,592.341463414634,20.6538746602981,551184.631205149,27.0493827329604
"Oregon","Agriculture",125,600.192904656319,20.8266374077809,13248,21.4836977700905
"Oregon","Manufacturing",85,600.192904656319,14.162113437291,8694,14.0986766616219
"Oregon","Trade",24,600.192904656319,3.99871438229394,2619,4.24711688253828
"Oregon","Service",59,600.192904656319,9.8301728564726,6090,9.87588461804434
"Oregon","School",168,600.192904656319,27.9910006760576,18077,29.3146742595053
"Oregon","Unaccounted",139.192904656319,600.192904656319,23.1913612401039,12937.3619957537,20.9799498081996
"Pennsylvania","Agriculture",67,617.827050997783,10.8444587998852,260051,10.2895763081847
"Pennsylvania","Manufacturing",89,617.827050997783,14.4053258685042,356240,14.0955376600271
"Pennsylvania","Trade",33,617.827050997783,5.34130060292851,121253,4.79768197813627
"Pennsylvania","Service",70,617.827050997783,11.3300315819696,283000,11.1976116039402
"Pennsylvania","School",181,617.827050997783,29.2962245190927,724999,28.6864212552829
"Pennsylvania","Unaccounted",177.827050997783,617.827050997783,28.7826586276199,781781.665381476,30.9331711944288
"Rhode Island","Agriculture",46,608.354767184035,7.5613774201073,11780,6.72682969377595
"Rhode Island","Manufacturing",176,608.354767184035,28.9304875204105,47007,26.8427914614029
"Rhode Island","Trade",33,608.354767184035,5.42446641007698,10108,5.77205386627227
"Rhode Island","Service",75,608.354767184035,12.3283327501749,19679,11.2374602329216
"Rhode Island","School",126,608.354767184035,20.7115990202939,34910,19.9349426663598
"Rhode Island","Unaccounted",152.354767184035,608.354767184035,25.0437368789363,51635.6408450704,29.4859220792674
"South Carolina","Agriculture",287,627.070953436807,45.7683454204074,206654,43.4733231034493
"South Carolina","Manufacturing",18,627.070953436807,2.87048856295238,13794,2.90181181534826
"South Carolina","Trade",13,627.070953436807,2.07313062879894,8470,1.78181427258227
"South Carolina","Service",45,627.070953436807,7.17622140738095,34383,7.23307203473389
"South Carolina","School",56,627.070953436807,8.93040886251852,41565,8.74393273198133
"South Carolina","Unaccounted",208.070953436807,627.070953436807,33.1814051179418,170492.185773481,35.866046041905
"South West Territory","Agriculture",162,630.527716186253,25.6927643054071,NA,NA
"South West Territory","Manufacturing",54,630.527716186253,8.56425476846903,NA,NA
"South West Territory","Trade",22,630.527716186253,3.48914083159849,NA,NA
"South West Territory","Service",86,630.527716186253,13.6393687053396,NA,NA
"South West Territory","School",84,630.527716186253,13.3221740842852,NA,NA
"South West Territory","Unaccounted",222.527716186253,630.527716186253,35.2922973049007,NA,NA
"Tennessee","Agriculture",222,635.988913525499,34.9062688482068,267020,31.5017398126313
"Tennessee","Manufacturing",24,635.988913525499,3.77365068629263,29061,3.42847749492502
"Tennessee","Trade",13,635.988913525499,2.04406078840851,17510,2.06574587715967
"Tennessee","Service",49,635.988913525499,7.70453681784744,54396,6.41737936801698
"Tennessee","School",97,635.988913525499,15.2518381904327,120705,14.2401973787868
"Tennessee","Unaccounted",230.988913525499,635.988913525499,36.319644668812,358943.722941666,42.3464600684802
"Texas","Agriculture",218,638.022172949002,34.1680915245284,166753,30.933379177644
"Texas","Manufacturing",20,638.022172949002,3.13468729582829,15879,2.94562093612594
"Texas","Trade",19,638.022172949002,2.97795293103688,13612,2.52508295122781
"Texas","Service",55,638.022172949002,8.62039006352781,40882,7.58378204614275
"Texas","School",84,638.022172949002,13.1656866424788,65199,12.0946872860051
"Texas","Unaccounted",242.022172949002,638.022172949002,37.9331915425998,236746.399352693,43.9174476028544
"Vermont","Agriculture",144,612.039911308204,23.5278774046299,57983,22.3823700501473
"Vermont","Manufacturing",57,612.039911308204,9.31311813933268,22616,8.73013954183348
"Vermont","Trade",23,612.039911308204,3.7579248632395,7132,2.7530666436309
"Vermont","Service",53,612.039911308204,8.65956598920407,21032,8.11869007975954
"Vermont","School",173,612.039911308204,28.2661304930624,70199,27.0979424167478
"Vermont","Unaccounted",162.039911308204,612.039911308204,26.4753831105315,80094.5693896143,30.917791267881
"Virginia","Agriculture",205,636.290465631929,32.2179902218722,244550,28.934750557631
"Virginia","Manufacturing",42,636.290465631929,6.60075897228601,49413,5.84646423759649
"Virginia","Trade",19,636.290465631929,2.98605763031986,20181,2.3877824616788
"Virginia","Service",79,636.290465631929,12.4157133050142,98521,11.6568413808561
"Virginia","School",52,636.290465631929,8.17236825140173,70840,8.38167135351699
"Virginia","Unaccounted",239.290465631929,636.290465631929,37.607111619106,361672.495181497,42.7924900087206
"West Virginia","Agriculture",164,621.017738359202,26.4082633828313,73960,24.3971155486421
"West Virginia","Manufacturing",40,621.017738359202,6.44103984947104,17673,5.82977586656507
"West Virginia","Trade",18,621.017738359202,2.89846793226197,6897,2.27510689479428
"West Virginia","Service",36,621.017738359202,5.79693586452394,16699,5.50848340382335
"West Virginia","School",179,621.017738359202,28.8236533263829,82193,27.1129275052669
"West Virginia","Unaccounted",184.017738359202,621.017738359202,29.6316396445289,105728.591112056,34.8765907809082
"Wisconsin","Agriculture",134,599.858093126386,22.338616672088,159687,21.3418257049405
"Wisconsin","Manufacturing",46,599.858093126386,7.66848035011976,53517,7.15243248511963
"Wisconsin","Trade",19,599.858093126386,3.1674157967886,21534,2.87797300174834
"Wisconsin","Service",51,599.858093126386,8.50201082295887,58070,7.76093118842418
"Wisconsin","School",214,599.858093126386,35.6751042375137,260602,34.8288994242417
"Wisconsin","Unaccounted",135.858093126386,599.858093126386,22.6483721205311,194824.955189583,26.0379381955257
"Arizona","Agriculture",NA,NA,NA,1285,16.6826597426056
"Arizona","Manufacturing",NA,NA,NA,1039,13.488936554527
"Arizona","Trade",NA,NA,NA,591,7.67272522013999
"Arizona","Service",NA,NA,NA,3115,40.4408444344096
"Arizona","School",NA,NA,NA,149,1.9344095732671
"Arizona","Unaccounted",NA,NA,NA,1523.60869565217,19.7804244750508
"Colorado","Agriculture",NA,NA,NA,6462,21.6895896753186
"Colorado","Manufacturing",NA,NA,NA,4681,15.7116944088775
"Colorado","Trade",NA,NA,NA,2815,9.44849813308912
"Colorado","Service",NA,NA,NA,3625,12.1672489280455
"Colorado","School",NA,NA,NA,2616,8.78055812297021
"Colorado","Unaccounted",NA,NA,NA,9594.09473684211,32.202410731699
"Dakota","Agriculture",NA,NA,NA,2522,23.3516370649031
"Dakota","Manufacturing",NA,NA,NA,457,4.23144256092812
"Dakota","Trade",NA,NA,NA,204,1.88887151516266
"Dakota","Service",NA,NA,NA,2704,25.0368067499992
"Dakota","School",NA,NA,NA,1128,10.4443483779583
"Dakota","Unaccounted",NA,NA,NA,3785.09933774834,35.0468937310486
"Idaho","Agriculture",NA,NA,NA,1462,10.4817033464331
"Idaho","Manufacturing",NA,NA,NA,7273,52.1432479060248
"Idaho","Trade",NA,NA,NA,721,5.16915739588119
"Idaho","Service",NA,NA,NA,1423,10.2020956648251
"Idaho","School",NA,NA,NA,466,3.34095332382889
"Idaho","Unaccounted",NA,NA,NA,2603.11464968153,18.6628423630069
"Montana","Agriculture",NA,NA,NA,2111,11.1097432041914
"Montana","Manufacturing",NA,NA,NA,8030,42.2601790287339
"Montana","Trade",NA,NA,NA,1233,6.48901628174706
"Montana","Service",NA,NA,NA,2674,14.0726922444377
"Montana","School",NA,NA,NA,919,4.83650118647652
"Montana","Unaccounted",NA,NA,NA,4034.33928571429,21.2318680544135
"New Mexico","Agriculture",NA,NA,NA,18668,30.7700128187092
"New Mexico","Manufacturing",NA,NA,NA,2295,3.78279298365854
"New Mexico","Trade",NA,NA,NA,863,1.4224620239204
"New Mexico","Service",NA,NA,NA,7535,12.4197582273931
"New Mexico","School",NA,NA,NA,1880,3.09875852256125
"New Mexico","Unaccounted",NA,NA,NA,29428.4579881657,48.5062154237575
"Utah","Agriculture",NA,NA,NA,10428,18.6532447322806
"Utah","Manufacturing",NA,NA,NA,4107,7.34645915952017
"Utah","Trade",NA,NA,NA,1665,2.97829425385953
"Utah","Service",NA,NA,NA,5317,9.51086519385652
"Utah","School",NA,NA,NA,14625,26.1606927703877
"Utah","Unaccounted",NA,NA,NA,19762.4828375286,35.3504438900955
"Washington","Agriculture",NA,NA,NA,3771,21.7813530728025
"Washington","Manufacturing",NA,NA,NA,2653,15.3237681522528
"Washington","Trade",NA,NA,NA,1129,6.52112108703105
"Washington","Service",NA,NA,NA,2207,12.7476654021944
"Washington","School",NA,NA,NA,3532,20.4008854556188
"Washington","Unaccounted",NA,NA,NA,4020.97402597403,23.2252068301004
"Wyoming","Agriculture",NA,NA,NA,165,1.89577914956287
"Wyoming","Manufacturing",NA,NA,NA,1664,19.1186454840765
"Wyoming","Trade",NA,NA,NA,1646,18.9118332132151
"Wyoming","Service",NA,NA,NA,3170,36.421938812814
"Wyoming","School",NA,NA,NA,364,4.18220369964173
"Wyoming","Unaccounted",NA,NA,NA,1694.54545454545,19.4695996406898
